HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460006.268,2023-03-02.7629619,bp,1.79,17.698,>17.698,99.99,-0.043,0.061,g
2460006.442,2023-03-02.9371332,bo,1.49,17.793,>17.793,99.99,0.175,0.055,g
2460006.635,2023-03-03.1292667,bl,1.49,17.318,>17.318,99.99,-0.171,0.086,g
2460006.673,2023-03-03.1673538,bk,1.47,17.482,>17.482,99.99,-0.122,0.074,g
2460007.578,2023-03-04.0730537,bp,1.48,18.099,>18.099,99.99,-0.026,0.042,g
2460009.598,2023-03-06.0923931,bG,1.75,16.625,>16.625,99.99,0.403,0.163,g
2460012.301,2023-03-08.7957564,bo,1.99,17.43,>17.430,99.99,-0.023,0.077,g
2460012.324,2023-03-08.8186207,bp,2.05,17.212,>17.212,99.99,0.218,0.095,g
2460012.785,2023-03-09.2793763,bG,1.45,16.505,>16.505,99.99,0.038,0.182,g
2460013.38,2023-03-09.8744347,bo,1.81,17.723,>17.723,99.99,-0.202,0.059,g
2460013.624,2023-03-10.1189085,bG,1.49,17.3,>17.300,99.99,0.074,0.087,g
2460013.685,2023-03-10.1798738,bl,1.52,16.96,>16.960,99.99,-0.337,0.119,g
2460014.261,2023-03-10.7554621,bp,1.51,17.686,>17.686,99.99,0.101,0.061,g
2460014.436,2023-03-10.9307291,bo,1.73,17.19,>17.190,99.99,0.167,0.097,g
2460014.778,2023-03-11.2726753,bk,1.49,17.305,>17.305,99.99,0.065,0.087,g
2460014.786,2023-03-11.2804328,bl,1.49,17.031,>17.031,99.99,0.497,0.112,g
2460015.286,2023-03-11.7810067,bo,1.6,18.503,>18.503,99.99,0.014,0.029,g
2460015.365,2023-03-11.8598753,bp,1.71,17.8,>17.800,99.99,0.014,0.055,g
2460015.814,2023-03-12.3085246,bl,1.46,16.843,>16.843,99.99,0.196,0.133,g
2460016.324,2023-03-12.8190038,bp,1.55,18.147,>18.147,99.99,-0.075,0.04,g
2460016.328,2023-03-12.8232791,bo,1.52,18.692,>18.692,99.99,0.002,0.024,g
2460016.766,2023-03-13.2610065,bH,1.49,17.657,>17.657,99.99,0.064,0.063,g
2460016.773,2023-03-13.2684435,bk,1.48,17.761,>17.761,99.99,-0.123,0.057,g
2460017.291,2023-03-13.7857410,bo,1.47,18.571,>18.571,99.99,0.053,0.027,g
2460017.689,2023-03-14.1837174,bk,1.52,17.859,>17.859,99.99,-0.158,0.052,g
2460017.7,2023-03-14.1950302,bl,1.48,17.499,>17.499,99.99,0.106,0.073,g
2460018.703,2023-03-15.1984494,bk,1.51,18.119,>18.119,99.99,0.042,0.041,g
2460019.702,2023-03-16.1974042,bk,1.52,18.147,>18.147,99.99,0.099,0.04,g
2460020.698,2023-03-17.1934236,bG,1.54,18.147,>18.147,99.99,-0.138,0.04,g
2460020.742,2023-03-17.2376908,bk,1.53,18.32,>18.320,99.99,0.002,0.034,g
2460020.789,2023-03-17.2832942,bl,1.45,17.775,>17.775,99.99,0,0.056,g
2460021.717,2023-03-18.2117709,bH,1.4,17.984,>17.984,99.99,-0.031,0.046,g
2460021.769,2023-03-18.2642490,bk,1.65,18.177,>18.177,99.99,-0.011,0.039,g
2460022.373,2023-03-18.8672865,bp,1.66,18.152,>18.152,99.99,0.044,0.04,g
2460022.76,2023-03-19.2554075,bG,1.6,17.959,>17.959,99.99,0.059,0.048,g
2460023.734,2023-03-20.2292185,bG,1.53,17.909,>17.909,99.99,-0.082,0.05,g
2460024.441,2023-03-20.9358998,bp,2.33,18.353,>18.353,99.99,0.058,0.033,g
2460024.699,2023-03-21.1948813,bG,1.52,18.321,>18.321,99.99,0.012,0.034,g
2460024.755,2023-03-21.2505964,bk,1.49,17.994,>17.994,99.99,0.046,0.046,g
2460025.523,2023-03-22.0188776,bG,1.68,18.012,>18.012,99.99,0.105,0.045,g
2460026.722,2023-03-23.2168952,bH,1.46,18.126,>18.126,99.99,-0.098,0.041,g
2460026.766,2023-03-23.2603405,bl,1.57,17.777,>17.777,99.99,-0.061,0.056,g
2460027.797,2023-03-24.2928252,bs,2.02,18.406,>18.406,99.99,-0.02,0.032,g
2460028.509,2023-03-25.0040160,bl,1.7,17.65,>17.650,99.99,-0.051,0.063,g
